,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1432865409808535555,1432865409808535552,2021-09-01 00:38:29+00:00,2021-09-01,00:38:29,0,1103662297577222146,au_dedm,austin has issues,,depressed rn i miss him  https://t.co/xsxU6XTNIG,en,[],[],['https://pbs.twimg.com/media/E-KPfQtWYAMD7_y.jpg'],0,0,0,[],[],https://twitter.com/au_dedm/status/1432865409808535555,False,,1,https://pbs.twimg.com/media/E-KPfQtWYAMD7_y.jpg,,"1.290270,103.851959,5km",,,,,[],,,,
1,1431105422182662146,1431105422182662144,2021-08-27 04:04:55+00:00,2021-08-27,04:04:55,0,146794583,clemmtt,ℂ𝕃𝔼𝕄𝔼ℕℂ𝕐,,Fuck man Idk why I get so depressed easily and emotions all affected. Worst come to worst only get X only mah why do I even bother and make myself demoralised as well.,en,[],[],[],0,0,0,[],[],https://twitter.com/clemmtt/status/1431105422182662146,False,,0,,,"1.290270,103.851959,5km",,,,,[],,,,
2,1432865409808535555,1432865409808535552,2021-09-01 00:38:29+00:00,2021-09-01,00:38:29,0,1103662297577222146,au_dedm,austin has issues,,depressed rn i miss him  https://t.co/xsxU6XTNIG,en,[],[],['https://pbs.twimg.com/media/E-KPfQtWYAMD7_y.jpg'],0,0,0,[],[],https://twitter.com/au_dedm/status/1432865409808535555,False,,1,https://pbs.twimg.com/media/E-KPfQtWYAMD7_y.jpg,,"1.290270,103.851959,5km",,,,,[],,,,
3,1431105422182662146,1431105422182662144,2021-08-27 04:04:55+00:00,2021-08-27,04:04:55,0,146794583,clemmtt,ℂ𝕃𝔼𝕄𝔼ℕℂ𝕐,,Fuck man Idk why I get so depressed easily and emotions all affected. Worst come to worst only get X only mah why do I even bother and make myself demoralised as well.,en,[],[],[],0,0,0,[],[],https://twitter.com/clemmtt/status/1431105422182662146,False,,0,,,"1.290270,103.851959,5km",,,,,[],,,,
4,1433101099955675140,1433101099955675136,2021-09-01 16:15:02+00:00,2021-09-01,16:15:02,0,1407647547351396354,recooker,RICEcooker,,"SAD, PAIN, DEPRESSED but i like it Maybe i will rewatched it 2 days later 😅 because i cant get over the DARK of this episode.",en,[],[],[],0,0,0,[],[],https://twitter.com/REcooker/status/1433101099955675140,False,https://twitter.com/whatifofficial/status/1432962335212146696,0,,,"1.290270,103.851959,20km",,,,,[],,,,
5,1433099043358449668,1433098744589807616,2021-09-01 16:06:52+00:00,2021-09-01,16:06:52,0,1164104758824542210,syamilibrahim_,#Lawan 🏴,,"Ni base on true story eh, ex aku buat aku depress astu yg paling latest. Janji nk kahwin, dah kumpul duit kahwin tibe curang. Pejadahnyaaaa",in,[],[],[],0,0,0,[],[],https://twitter.com/syamilibrahim_/status/1433099043358449668,False,,0,,,"1.290270,103.851959,20km",,,,,[],,,,
6,1433076547443838979,1433076547443838976,2021-09-01 14:37:28+00:00,2021-09-01,14:37:28,0,3223481204,breakingxsticks,Muhammad Syahmi,,Staying home makes me depressed. 😔,en,[],[],[],1,0,2,[],[],https://twitter.com/breakingxsticks/status/1433076547443838979,False,,0,,,"1.290270,103.851959,20km",,,,,[],,,,
7,1433063603096014850,1433063603096014848,2021-09-01 13:46:02+00:00,2021-09-01,13:46:02,0,1453209180,vereenfoo,Vereen Foo 🚢 1️⃣4️⃣/ 3️⃣0️⃣,,"This painting by Michael Ong is inspired by a dream from God who called him to relocate Vietnam.   He dreamt of 5 people. God asked him to look deeper in their eyes. Most are sad, depressed and lonely. He felt so much compassion. Read his story here.    https://t.co/IWxkYgbHH4  https://t.co/hK4TpeO1OW",en,[],['https://www.teatalkcore.com/product-page/deeply-broken-dearly-loved'],['https://pbs.twimg.com/media/E-NDvrSUcAE3xeQ.jpg'],0,1,1,[],[],https://twitter.com/Vereenfoo/status/1433063603096014850,False,,1,https://pbs.twimg.com/media/E-NDvrSUcAE3xeQ.jpg,,"1.290270,103.851959,20km",,,,,[],,,,
8,1433019542469373956,1433018391921500160,2021-09-01 10:50:57+00:00,2021-09-01,10:50:57,0,1337016581935620096,sginsightful,Insightful Counselling & Training,,#selfgrowth #vulnerability #selfcompassion #itsokaytonotbeokay #scared #failure #breakup  #depression #depressed,und,[],[],[],0,0,0,"['selfgrowth', 'vulnerability', 'selfcompassion', 'itsokaytonotbeokay', 'scared', 'failure', 'breakup', 'depression', 'depressed']",[],https://twitter.com/SGinsightful/status/1433019542469373956,False,,0,,,"1.290270,103.851959,20km",,,,,[],,,,
9,1433010743188738057,1433010743188738048,2021-09-01 10:15:59+00:00,2021-09-01,10:15:59,0,1401098194172276747,tsunderesama_,&,,When people ask you why you so depress and anxious all the time. And they make your reason seem very stupid and expect you to feel better afterwards?,en,[],[],[],0,0,0,[],[],https://twitter.com/tsunderesama_/status/1433010743188738057,False,,0,,,"1.290270,103.851959,20km",,,,,[],,,,
