,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1441689006064824323,1441689006064824320,2021-09-25 09:00:18+00:00,2021-09-25,09:00:18,0,1011067854471364608,paigeoffficial,Paige 🇵🇸🏴,,People at my age has bought a car ya allah no wonder la rsa anxious at this age. Tgok life org dh smakin stable at 24-25…,en,[],[],[],0,0,0,[],[],https://twitter.com/PaigeOffficial/status/1441689006064824323,False,,0,,,"1.290270,103.851959,500km",,,,,[],,,,
1,1441684910926753795,1441684910926753792,2021-09-25 08:44:02+00:00,2021-09-25,08:44:02,0,308968000,stsportsdesk,ST Sports Desk,,Sports fans in S'pore face anxious wait as cessation of Fox Sports channels looms  https://t.co/q4DNfFYf8R,en,[],['http://www.straitstimes.com/sport/sports-fans-in-spore-face-anxious-wait-as-cessation-of-fox-sports-channels-looms?utm_source=twitter&utm_medium=social-organic&utm_keyword=dlvr.it'],[],0,3,4,[],[],https://twitter.com/STsportsdesk/status/1441684910926753795,False,,0,,,"1.290270,103.851959,500km",,,,,[],,,,
2,1441683163130986504,1441683163130986496,2021-09-25 08:37:05+00:00,2021-09-25,08:37:05,0,497627705,drazah___,🆔 Azah,,People who are afraid of needles are real… there are patients came to us for tooth extractions and very anxious because of injections,en,[],[],[],0,0,0,[],[],https://twitter.com/drazah___/status/1441683163130986504,False,,0,,,"1.290270,103.851959,500km",,,,,[],,,,
3,1441681340827459585,1441681340827459584,2021-09-25 08:29:51+00:00,2021-09-25,08:29:51,0,139435311,zikrymohamad,Zikry Solis™,,"ALHAMDULILLAH. okay lets celebrate. I have been anxious, depressed, down for two weeks already. Alhamdulillah ala kulli hal.",en,[],[],[],1,0,1,[],[],https://twitter.com/ZikryMohamad/status/1441681340827459585,False,,0,,,"1.290270,103.851959,500km",,,,,[],,,,
4,1441672304010747911,1441624373438210048,2021-09-25 07:53:56+00:00,2021-09-25,07:53:56,0,1270350145838657536,venusmeud,fara⁷ 🐨🌱,,@fsic_ Hahah being anxious gemini is understandable. Mute the thoughts a d you’d be fine. Sedap kan?,en,[],[],[],1,0,1,[],[],https://twitter.com/venusmeud/status/1441672304010747911,False,,0,,,"1.290270,103.851959,500km",,,,,"[{'screen_name': 'fsic_', 'name': 'd⁷ 🌱', 'id': '2264718474'}]",,,,
5,1441669385655971843,1441669385655971840,2021-09-25 07:42:21+00:00,2021-09-25,07:42:21,0,193939240,hfznisml,hafizin,,"Nak rehat kejap buat drawing ni, tp rasa anxious duk fikir tak sempat siap. Padahal deadline pun takde.",in,[],[],[],1,0,0,[],[],https://twitter.com/hfznisml/status/1441669385655971843,False,,0,,,"1.290270,103.851959,500km",,,,,[],,,,
6,1441668796977082373,1441668796977082368,2021-09-25 07:40:00+00:00,2021-09-25,07:40:00,0,19763223,notamalclooney,Amal Z ✌🏼,,"Always in the cycle 🔁 of being anxious I’m not great at what I do (so needing to pile up on savings for rainy days 💰), and rewarding myself for all the hard work I’ve done 👩🏻‍💻👩🏻‍🔧",en,[],[],[],0,0,0,[],[],https://twitter.com/notamalclooney/status/1441668796977082373,False,,0,,,"1.290270,103.851959,500km",,,,,[],,,,
7,1441654025393348608,1441654025393348608,2021-09-25 06:41:18+00:00,2021-09-25,06:41:18,0,1251427947166101504,syafkeni,syaf,,Cepat la start buat kerja 😞 tak suka lambat2 ni. Nnti aku anxious. Dahlah research pun kena siapkan.,in,[],[],[],0,0,0,[],[],https://twitter.com/syafkeni/status/1441654025393348608,False,,0,,,"1.290270,103.851959,500km",,,,,[],,,,
8,1441649509524594688,1441617399405428736,2021-09-25 06:23:22+00:00,2021-09-25,06:23:22,0,2537096269,nurulhudashakle,Perfect Bakers,,@NenekGojes Tula nampak cerita mcm anxious &amp; byk action je. Drama mcm ni kena dah byk episod baru sedap layan.,in,[],[],[],1,0,0,[],[],https://twitter.com/nurulhudashakle/status/1441649509524594688,False,,0,,,"1.290270,103.851959,500km",,,,,"[{'screen_name': 'NenekGojes', 'name': 'nenek', 'id': '2343287149'}]",,,,
9,1441632409322098689,1441632409322098688,2021-09-25 05:15:25+00:00,2021-09-25,05:15:25,0,709255140511846402,hanisfia,Hanis 💫,,I’ve been so anxious lately it’s getting kinda hard to calm down,en,[],[],[],1,0,2,[],[],https://twitter.com/HanisFia/status/1441632409322098689,False,,0,,,"1.290270,103.851959,500km",,,,,[],,,,
10,1441619459333001218,1441619459333001216,2021-09-25 04:23:57+00:00,2021-09-25,04:23:57,0,865561348339449856,shakirasuhaimi,Shakira Suhaimi,,“If you are anxious about how world sees you know that you are fine. Beautiful all with your flaw and perfections.”,en,[],[],[],0,1,1,[],[],https://twitter.com/shakirasuhaimi/status/1441619459333001218,False,,0,,,"1.290270,103.851959,500km",,,,,[],,,,
11,1441615356687044612,1441615356687044608,2021-09-25 04:07:39+00:00,2021-09-25,04:07:39,0,806655618702405632,mulhimmulkan,mulhim,,"Tak best bila selalu sangat anxious,setiap masa sesak nafas 💔",in,[],[],[],1,0,1,[],[],https://twitter.com/mulhimmulkan/status/1441615356687044612,False,,0,,,"1.290270,103.851959,500km",,,,,[],,,,
12,1441605991636766727,1441604687564718080,2021-09-25 03:30:26+00:00,2021-09-25,03:30:26,0,93449160,araria09,araria,,"@xiaorinathinker ah, thinking too much will make me anxious. so i tried not to. we just have to give our best! if we already give our best, no matter what the outcome, there will be no regrets. ❤️",en,[],[],[],1,0,1,[],[],https://twitter.com/araria09/status/1441605991636766727,False,,0,,,"1.290270,103.851959,500km",,,,,"[{'screen_name': 'xiaorinathinker', 'name': 'xiaorina lovebot', 'id': '1435627042888839176'}]",,,,
13,1441602236732243975,1441568088470654976,2021-09-25 03:15:31+00:00,2021-09-25,03:15:31,0,945840060406030338,mayuuji_yuu,mayuuji,,@yukaCD I avoid coffee because it makes me anxious 😕,en,[],[],[],0,0,0,[],[],https://twitter.com/mayuuji_yuu/status/1441602236732243975,False,,0,,,"1.290270,103.851959,500km",,,,,"[{'screen_name': 'yukaCD', 'name': 'yuka', 'id': '968361086335336448'}]",,,,
